IdResultado,Numero,FaixaEtaria,Equipe,TempoLiq,TempoOfic,ClassGeral,ClassSexo,ClassFaixa,TotalClassGeral,TotalClassSexo,TotalClassFaixa,Ritmo,Distancia,NoLugarDe,FezInscricao,IdAtleta,IdProva,TempoEquipe
1,518603,M3539, LocaMotiva,2008-10-28 00:46:27,2008-10-28 00:48:27,973,916,166,null,null,null,2008-10-28 04:38:00,10Km,,true,1,3,null
2,523912,M3034, LocaMotiva,2008-10-28 00:47:25,2008-10-28 00:49:25,1209,1140,242,null,null,null,2008-10-28 04:44:00,10Km,,true,2,3,null
3,512644,M3034, LocaMotiva,2008-10-28 00:51:10,2008-10-28 00:53:09,2523,2336,482,null,null,null,2008-10-28 05:07:00,10Km,,true,4,3,null
4,507847,F3034, LocaMotiva,2008-10-28 00:56:02,2008-10-28 00:57:59,5218,548,119,null,null,null,2008-10-28 05:36:00,10Km,,true,14,3,null
5,518601,M2529, LocaMotiva,2008-10-28 00:58:36,2008-10-28 01:10:43,6871,5954,1136,null,null,null,2008-10-28 05:51:00,10Km,,true,5,3,null
6,523911,M2529, LocaMotiva,2008-10-28 01:16:07,2008-10-28 01:28:14,14813,10647,2084,null,null,null,2008-10-28 07:36:00,10Km,,true,11,3,null
7,504331,F3034, LocaMotiva,2008-10-28 01:17:29,2008-10-28 01:29:36,15074,4315,957,null,null,null,2008-10-28 07:44:00,10Km,,true,8,3,null
8,518604,M3034, LocaMotiva,2008-10-28 01:19:15,2008-10-28 01:21:28,15353,10869,2245,null,null,null,2008-10-28 07:55:00,10Km,,true,3,3,null
9,504332,F2024, LocaMotiva,2008-10-28 01:20:17,2008-10-28 01:32:24,15526,4591,441,null,null,null,2008-10-28 08:01:00,10Km,,true,9,3,null
10,3915,M3539, LocaMotiva,2008-10-28 00:39:39,2008-10-28 00:44:29,450,439,73,null,null,null,2008-10-28 04:24:00,9Km,,true,1,1,null
11,3918,M3034, LocaMotiva,2008-10-28 00:44:05,2008-10-28 00:45:15,1030,965,151,null,null,null,2008-10-28 04:53:00,9Km,,true,3,1,null
12,3914,M3034, LocaMotiva,2008-10-28 00:48:27,2008-10-28 00:53:17,1812,1643,274,null,null,null,2008-10-28 05:23:00,9Km,,true,4,1,null
13,3910,M2529, LocaMotiva,2008-10-28 00:50:38,2008-10-28 00:55:28,2240,1985,195,null,null,null,2008-10-28 05:37:00,9Km,,true,5,1,null
14,3911,M3034, LocaMotiva,2008-10-28 00:52:24,2008-10-28 00:57:17,2626,2268,371,null,null,null,2008-10-28 05:49:00,9Km,,true,2,1,null
15,4789,F3034, LocaMotiva,2008-10-28 00:52:30,2008-10-28 00:57:21,2650,365,66,null,null,null,2008-10-28 05:50:00,9Km,,true,14,1,null
16,6490,F3034,ADCMB,2008-10-28 00:57:07,2008-10-28 00:58:56,3220,320,46,null,null,null,2008-10-28 05:42:00,10Km,,true,14,4,null
17,3908,M3034, LocaMotiva,2008-10-28 00:56:52,2008-10-28 01:01:42,3575,2936,482,null,null,null,2008-10-28 06:19:00,9Km,,true,15,1,null
18,3913,M2529, LocaMotiva,2008-10-28 01:07:12,2008-10-28 01:12:01,4738,3579,373,null,null,null,2008-10-28 07:28:00,9Km,,true,11,1,null
19,3912,F3034, LocaMotiva,2008-10-28 01:08:12,2008-10-28 01:13:03,4785,1190,206,null,null,null,2008-10-28 07:34:00,9Km,,true,8,1,null
20,3909,F2024, LocaMotiva,2008-10-28 01:12:50,2008-10-28 01:17:38,4966,1291,46,null,null,null,2008-10-28 08:05:00,9Km,,true,9,1,null
21,3145,M3539, LocaMotiva,2008-10-28 00:43:17,2008-10-28 00:43:52,607,585,123,null,null,null,2008-10-28 04:19:00,10Km,,true,1,4,null
22,3137,M3034, LocaMotiva,2008-10-28 00:51:59,2008-10-28 00:51:59,2092,1949,304,null,null,null,2008-10-28 05:11:00,10Km,,true,3,4,null
23,3141,M3034, LocaMotiva,2008-10-28 00:55:44,2008-10-28 00:57:34,2908,2643,417,null,null,null,2008-10-28 05:34:00,10Km,,true,2,4,null
24,3144,M3034, LocaMotiva,2008-10-28 00:55:58,2008-10-28 01:00:38,2959,2681,425,null,null,null,2008-10-28 05:35:00,10Km,,true,4,4,null
25,3140,M2529, LocaMotiva,2008-10-28 00:58:00,2008-10-28 01:05:22,3427,3059,309,null,null,null,2008-10-28 05:48:00,10Km,,true,5,4,null
26,3138,M3034, LocaMotiva,2008-10-28 01:12:46,2008-10-28 01:20:07,5388,4395,684,null,null,null,2008-10-28 07:16:00,10Km,,true,15,4,null
27,3143,M2529, LocaMotiva,2008-10-28 01:19:33,2008-10-28 01:26:54,5665,4533,434,null,null,null,2008-10-28 07:57:00,10Km,,true,11,4,null
