"id","start_number"," category"," team"," liquid_time"," official_time"," class_general"," class_sex"," class_category"," pace"," distance"," substitute"," notes"," athlete_id"," race_id"
1,518603,"M3539","Locamotiva",20081028004627,20081028004827,973,916,166,20081028043800,"10Km",,,1,3
2,523912,"M3034","Locamotiva",20081028004725,20081028004925,1209,1140,242,20081028044400,"10Km",,,2,3
3,512644,"M3034","Locamotiva",20081028005110,20081028005309,2523,2336,482,20081028050700,"10Km",,,4,3
4,507847,"F3034","Locamotiva",20081028005602,20081028005759,5218,548,119,20081028053600,"10Km",,,14,3
5,518601,"M2529","Locamotiva",20081028005836,20081028011043,6871,5954,1136,20081028055100,"10Km",,,5,3
6,523911,"M2529","Locamotiva",20081028011607,20081028012814,14813,10647,2084,20081028073600,"10Km",,,11,3
7,504331,"F3034","Locamotiva",20081028011729,20081028012936,15074,4315,957,20081028074400,"10Km",,,8,3
8,518604,"M3034","Locamotiva",20081028011915,20081028012128,15353,10869,2245,20081028075500,"10Km",,,3,3
9,504332,"F2024","Locamotiva",20081028012017,20081028013224,15526,4591,441,20081028080100,"10Km",,,9,3
10,3915,"M3539","Locamotiva",20081028003939,20081028004429,450,439,73,20081028042400,"9Km",,,1,1
11,3918,"M3034","Locamotiva",20081028004405,20081028004515,1030,965,151,20081028045300,"9Km",,,3,1
12,3914,"M3034","Locamotiva",20081028004827,20081028005317,1812,1643,274,20081028052300,"9Km",,,4,1
13,3910,"M2529","Locamotiva",20081028005038,20081028005528,2240,1985,195,20081028053700,"9Km",,,5,1
14,3911,"M3034","Locamotiva",20081028005224,20081028005717,2626,2268,371,20081028054900,"9Km",,,2,1
15,4789,"F3034","Locamotiva",20081028005230,20081028005721,2650,365,66,20081028055000,"9Km",,,14,1
16,6490,"F3034","ADCMB",20081028005707,20081028005856,3220,320,46,20081028054200,"10Km",,,14,4
17,3908,"M3034","Locamotiva",20081028005652,20081028010142,3575,2936,482,20081028061900,"9Km",,,15,1
18,3913,"M2529","Locamotiva",20081028010712,20081028011201,4738,3579,373,20081028072800,"9Km",,,11,1
19,3912,"F3034","Locamotiva",20081028010812,20081028011303,4785,1190,206,20081028073400,"9Km",,,8,1
20,3909,"F2024","Locamotiva",20081028011250,20081028011738,4966,1291,46,20081028080500,"9Km",,,9,1
21,3145,"M3539","Locamotiva",20081028004317,20081028004352,607,585,123,20081028041900,"10Km",,,1,4
22,3137,"M3034","Locamotiva",20081028005159,20081028005159,2092,1949,304,20081028051100,"10Km",,,3,4
23,3141,"M3034","Locamotiva",20081028005544,20081028005734,2908,2643,417,20081028053400,"10Km",,,2,4
24,3144,"M3034","Locamotiva",20081028005558,20081028010038,2959,2681,425,20081028053500,"10Km",,,4,4
25,3140,"M2529","Locamotiva",20081028005800,20081028010522,3427,3059,309,20081028054800,"10Km",,,5,4
